flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
FLAG180,TRIP028,DRV189,2024-02-06 06:00:04,4,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG064,TRIP010,DRV145,2024-02-06 06:10:19,619,moderate_event,low,0.39,0.05,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG126,TRIP019,DRV045,2024-02-06 06:10:30,630,audio_spike,medium,0.05,0.92,0.4,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG025,TRIP003,DRV003,2024-02-06 06:10:33,633,sustained_stress,low,0.05,0.62,0.28,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG041,TRIP006,DRV077,2024-02-06 06:11:00,660,moderate_event,low,0.05,0.4,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG189,TRIP030,DRV150,2024-02-06 06:11:01,661,moderate_event,low,0.42,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG120,TRIP018,DRV161,2024-02-06 06:11:05,665,moderate_event,low,0.05,0.48,0.22,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG026,TRIP003,DRV003,2024-02-06 06:11:11,671,moderate_event,low,0.05,0.41,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG108,TRIP016,DRV067,2024-02-06 06:11:19,679,moderate_event,low,0.45,0.05,0.29,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG190,TRIP030,DRV150,2024-02-06 06:11:26,686,moderate_event,low,0.42,0.18,0.32,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG127,TRIP019,DRV045,2024-02-06 06:11:28,688,sustained_stress,low,0.05,0.59,0.27,Sustained elevated cabin audio detected.,Motion: normal | Audio: loud
FLAG136,TRIP022,DRV048,2024-02-06 06:11:51,711,moderate_event,low,0.05,0.39,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG109,TRIP016,DRV067,2024-02-06 06:11:54,714,sustained_stress,low,0.05,0.7,0.31,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG052,TRIP008,DRV050,2024-02-06 06:13:03,783,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG186,TRIP029,DRV106,2024-02-06 06:13:04,784,moderate_event,low,0.36,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG187,TRIP029,DRV106,2024-02-06 06:13:11,791,moderate_event,low,0.36,0.09,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG188,TRIP029,DRV106,2024-02-06 06:13:39,819,sustained_stress,low,0.19,0.56,0.34,Sustained elevated cabin audio detected.,Motion: normal | Audio: loud
FLAG005,TRIP001,DRV107,2024-02-06 06:13:48,828,moderate_event,low,0.4,0.05,0.26,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG113,TRIP017,DRV144,2024-02-06 06:14:01,841,moderate_event,low,0.05,0.36,0.17,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG035,TRIP005,DRV206,2024-02-06 06:14:05,845,moderate_event,low,0.05,0.39,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG030,TRIP004,DRV210,2024-02-06 06:14:06,846,sustained_stress,low,0.05,0.58,0.26,Sustained elevated cabin audio detected.,Motion: normal | Audio: loud
FLAG114,TRIP017,DRV144,2024-02-06 06:14:10,850,moderate_event,low,0.05,0.38,0.18,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG098,TRIP014,DRV032,2024-02-06 06:14:26,866,moderate_event,low,0.43,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG121,TRIP018,DRV161,2024-02-06 06:14:26,866,moderate_event,low,0.5,0.05,0.32,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG122,TRIP018,DRV161,2024-02-06 06:14:44,884,moderate_event,low,0.5,0.05,0.32,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG129,TRIP020,DRV157,2024-02-06 06:14:50,890,moderate_event,low,0.05,0.38,0.18,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG083,TRIP012,DRV042,2024-02-06 06:15:05,905,moderate_event,low,0.05,0.39,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG065,TRIP010,DRV145,2024-02-06 06:15:13,913,sustained_stress,low,0.05,0.79,0.35,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG115,TRIP017,DRV144,2024-02-06 06:15:14,914,sustained_stress,medium,0.34,0.71,0.49,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG066,TRIP010,DRV145,2024-02-06 06:15:28,928,sustained_stress,low,0.05,0.79,0.35,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG116,TRIP017,DRV144,2024-02-06 06:15:36,936,sustained_stress,low,0.05,0.71,0.31,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG006,TRIP001,DRV107,2024-02-06 06:15:42,942,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG123,TRIP018,DRV161,2024-02-06 06:15:46,946,moderate_event,low,0.05,0.43,0.2,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG067,TRIP010,DRV145,2024-02-06 06:15:48,948,audio_spike,low,0.05,0.87,0.38,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG175,TRIP027,DRV136,2024-02-06 06:15:51,951,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG105,TRIP015,DRV111,2024-02-06 06:15:54,954,sustained_stress,low,0.05,0.76,0.33,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG031,TRIP004,DRV210,2024-02-06 06:15:56,956,moderate_event,low,0.37,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG068,TRIP010,DRV145,2024-02-06 06:15:59,959,audio_spike,medium,0.42,0.87,0.6,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG156,TRIP024,DRV189,2024-02-06 06:15:59,959,moderate_event,low,0.36,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG157,TRIP024,DRV189,2024-02-06 06:16:21,981,moderate_event,low,0.36,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG069,TRIP010,DRV145,2024-02-06 06:16:53,1013,sustained_stress,low,0.05,0.79,0.35,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG099,TRIP014,DRV032,2024-02-06 06:17:07,1027,moderate_event,low,0.05,0.43,0.2,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG137,TRIP022,DRV048,2024-02-06 06:17:09,1029,moderate_event,low,0.05,0.46,0.21,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG091,TRIP013,DRV096,2024-02-06 06:17:12,1032,moderate_event,low,0.05,0.5,0.23,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG117,TRIP017,DRV144,2024-02-06 06:17:19,1039,moderate_event,low,0.38,0.05,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG036,TRIP005,DRV206,2024-02-06 06:17:19,1039,moderate_event,low,0.41,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG084,TRIP012,DRV042,2024-02-06 06:17:30,1050,audio_spike,medium,0.26,0.82,0.48,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG085,TRIP012,DRV042,2024-02-06 06:17:42,1062,audio_spike,medium,0.26,0.82,0.48,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG042,TRIP006,DRV077,2024-02-06 06:17:53,1073,audio_spike,low,0.05,0.82,0.36,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG110,TRIP016,DRV067,2024-02-06 06:17:54,1074,moderate_event,low,0.38,0.05,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG086,TRIP012,DRV042,2024-02-06 06:18:06,1086,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG106,TRIP015,DRV111,2024-02-06 06:18:11,1091,moderate_event,low,0.05,0.48,0.22,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG053,TRIP008,DRV050,2024-02-06 06:18:15,1095,sustained_stress,low,0.08,0.75,0.35,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG032,TRIP004,DRV210,2024-02-06 06:18:17,1097,moderate_event,low,0.46,0.05,0.3,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG043,TRIP006,DRV077,2024-02-06 06:18:20,1100,audio_spike,low,0.05,0.82,0.36,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG152,TRIP023,DRV091,2024-02-06 06:18:22,1102,moderate_event,low,0.4,0.05,0.26,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG176,TRIP027,DRV136,2024-02-06 06:18:23,1103,moderate_event,low,0.05,0.44,0.21,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG183,TRIP028,DRV189,2024-02-06 06:18:35,1115,moderate_event,low,0.43,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG177,TRIP027,DRV136,2024-02-06 06:18:41,1121,moderate_event,low,0.05,0.44,0.21,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG153,TRIP023,DRV091,2024-02-06 06:18:44,1124,sustained_stress,medium,0.4,0.56,0.46,Sustained elevated cabin audio detected.,Motion: normal | Audio: loud
FLAG037,TRIP005,DRV206,2024-02-06 06:19:15,1155,moderate_event,low,0.42,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG044,TRIP006,DRV077,2024-02-06 06:19:22,1162,moderate_event,low,0.36,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG191,TRIP030,DRV150,2024-02-06 06:19:43,1183,moderate_event,low,0.26,0.47,0.34,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG007,TRIP001,DRV107,2024-02-06 06:19:49,1189,moderate_event,low,0.42,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG107,TRIP015,DRV111,2024-02-06 06:20:24,1224,sustained_stress,low,0.05,0.7,0.31,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG100,TRIP014,DRV032,2024-02-06 06:20:35,1235,moderate_event,low,0.41,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG130,TRIP020,DRV157,2024-02-06 06:20:47,1247,moderate_event,low,0.47,0.05,0.3,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG045,TRIP006,DRV077,2024-02-06 06:20:51,1251,moderate_event,low,0.05,0.45,0.21,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG048,TRIP007,DRV095,2024-02-06 06:20:53,1253,sustained_stress,low,0.05,0.56,0.25,Sustained elevated cabin audio detected.,Motion: normal | Audio: loud
FLAG092,TRIP013,DRV096,2024-02-06 06:21:02,1262,moderate_event,low,0.05,0.49,0.23,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG093,TRIP013,DRV096,2024-02-06 06:21:06,1266,moderate_event,medium,0.4,0.49,0.44,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG087,TRIP012,DRV042,2024-02-06 06:21:08,1268,moderate_event,low,0.42,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG178,TRIP027,DRV136,2024-02-06 06:21:16,1276,sustained_stress,low,0.05,0.63,0.28,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG138,TRIP022,DRV048,2024-02-06 06:21:18,1278,sustained_stress,low,0.05,0.8,0.35,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG038,TRIP005,DRV206,2024-02-06 06:21:20,1280,moderate_event,low,0.05,0.46,0.21,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG139,TRIP022,DRV048,2024-02-06 06:21:20,1280,sustained_stress,medium,0.34,0.8,0.52,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG140,TRIP022,DRV048,2024-02-06 06:21:25,1285,sustained_stress,medium,0.34,0.8,0.52,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG179,TRIP027,DRV136,2024-02-06 06:21:41,1301,sustained_stress,medium,0.41,0.63,0.5,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG163,TRIP025,DRV188,2024-02-06 06:21:53,1313,audio_spike,medium,0.05,0.92,0.4,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG012,TRIP002,DRV188,2024-02-06 06:22:00,1320,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG164,TRIP025,DRV188,2024-02-06 06:22:01,1321,audio_spike,medium,0.05,0.92,0.4,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG027,TRIP003,DRV003,2024-02-06 06:22:54,1374,moderate_event,low,0.08,0.45,0.23,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG033,TRIP004,DRV210,2024-02-06 06:23:13,1393,moderate_event,low,0.05,0.53,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG034,TRIP004,DRV210,2024-02-06 06:23:15,1395,moderate_event,low,0.05,0.53,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG141,TRIP022,DRV048,2024-02-06 06:23:23,1403,moderate_event,low,0.39,0.05,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG168,TRIP026,DRV024,2024-02-06 06:23:39,1419,moderate_event,low,0.23,0.44,0.31,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG169,TRIP026,DRV024,2024-02-06 06:23:56,1436,moderate_event,medium,0.42,0.44,0.43,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG046,TRIP006,DRV077,2024-02-06 06:24:57,1497,sustained_stress,low,0.05,0.6,0.27,Sustained elevated cabin audio detected.,Motion: normal | Audio: loud
FLAG094,TRIP013,DRV096,2024-02-06 06:25:13,1513,moderate_event,low,0.41,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG158,TRIP024,DRV189,2024-02-06 06:25:20,1520,moderate_event,low,0.41,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG142,TRIP022,DRV048,2024-02-06 06:25:39,1539,moderate_event,low,0.4,0.05,0.26,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG133,TRIP021,DRV142,2024-02-06 06:25:43,1543,moderate_event,low,0.38,0.05,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG134,TRIP021,DRV142,2024-02-06 06:25:44,1544,moderate_event,low,0.38,0.05,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG143,TRIP022,DRV048,2024-02-06 06:25:45,1545,moderate_event,low,0.4,0.27,0.35,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG144,TRIP022,DRV048,2024-02-06 06:25:46,1546,moderate_event,low,0.43,0.27,0.37,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG039,TRIP005,DRV206,2024-02-06 06:25:57,1557,moderate_event,low,0.05,0.5,0.23,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG145,TRIP022,DRV048,2024-02-06 06:26:06,1566,moderate_event,low,0.43,0.27,0.37,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG192,TRIP030,DRV150,2024-02-06 06:26:14,1574,moderate_event,low,0.05,0.53,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG146,TRIP022,DRV048,2024-02-06 06:26:21,1581,audio_spike,medium,0.3,0.92,0.55,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG058,TRIP009,DRV070,2024-02-06 06:26:27,1587,moderate_event,low,0.05,0.54,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG101,TRIP014,DRV032,2024-02-06 06:26:42,1602,moderate_event,low,0.46,0.05,0.3,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG135,TRIP021,DRV142,2024-02-06 06:26:43,1603,sustained_stress,low,0.05,0.6,0.27,Sustained elevated cabin audio detected.,Motion: normal | Audio: loud
FLAG170,TRIP026,DRV024,2024-02-06 06:27:33,1653,moderate_event,low,0.05,0.49,0.23,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG159,TRIP024,DRV189,2024-02-06 06:27:35,1655,moderate_event,low,0.46,0.05,0.3,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG013,TRIP002,DRV188,2024-02-06 06:27:37,1657,moderate_event,low,0.05,0.48,0.22,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG028,TRIP003,DRV003,2024-02-06 06:27:39,1659,moderate_event,low,0.05,0.43,0.2,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG160,TRIP024,DRV189,2024-02-06 06:28:21,1701,moderate_event,low,0.41,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG147,TRIP022,DRV048,2024-02-06 06:28:52,1732,moderate_event,low,0.36,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG184,TRIP028,DRV189,2024-02-06 06:28:57,1737,sustained_stress,low,0.05,0.77,0.34,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG082,TRIP011,DRV112,2024-02-06 06:29:24,1764,moderate_event,low,0.32,0.46,0.38,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG088,TRIP012,DRV042,2024-02-06 06:29:25,1765,moderate_event,low,0.05,0.52,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
