log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status,computed_velocity,target_earnings,target_hours,computed_target_velocity,remaining_hours,future_earnings,predicted_final,forecast
VEL135,DRV077,2024-02-06,2024-02-06 09:34:48,779,3.58,217.6,196.0,21.6,1,ahead,217.59776536312847,1527.0,6.6,231.36363636363637,3.0199999999999996,657.145251396648,1436.1452513966478,on_track
VEL053,DRV078,2024-02-06,2024-02-06 07:23:24,289,1.39,207.91,190.0,17.91,8,ahead,207.9136690647482,1773.0,7.7,230.25974025974025,6.3100000000000005,1311.9352517985612,1600.9352517985612,on_track
VEL063,DRV079,2024-02-06,2024-02-06 07:53:24,2351,1.89,1243.92,166.0,1077.92,7,ahead,1243.915343915344,1535.0,8.5,180.58823529411765,6.61,8222.280423280425,10573.280423280425,ahead
VEL017,DRV079,2024-02-06,2024-02-06 13:02:24,1513,7.04,214.91,201.0,13.91,13,ahead,214.91477272727272,1535.0,8.5,180.58823529411765,1.46,313.7755681818182,1826.7755681818182,ahead
VEL021,DRV080,2024-02-06,2024-02-06 08:40:48,623,2.68,232.46,172.0,60.46,2,ahead,232.46268656716416,1290.0,7.7,167.53246753246754,5.02,1166.962686567164,1789.962686567164,ahead
VEL150,DRV080,2024-02-06,2024-02-06 09:43:12,1551,3.72,416.94,203.0,213.94,12,ahead,416.93548387096774,1290.0,7.7,167.53246753246754,3.98,1659.4032258064517,3210.4032258064517,ahead
VEL132,DRV081,2024-02-06,2024-02-06 09:07:12,171,3.12,54.81,176.0,-121.19,7,at_risk,54.80769230769231,1659.0,8.3,199.87951807228913,5.180000000000001,283.9038461538462,454.9038461538462,at_risk
VEL049,DRV081,2024-02-06,2024-02-06 13:26:24,839,7.44,112.77,171.0,-58.23,6,at_risk,112.76881720430107,1659.0,8.3,199.87951807228913,0.8600000000000003,96.98118279569896,935.9811827956989,at_risk
VEL131,DRV082,2024-02-06,2024-02-06 08:57:36,2035,2.96,687.5,187.0,500.5,2,ahead,687.5,1593.0,9.8,162.55102040816325,6.840000000000001,4702.500000000001,6737.500000000001,ahead
VEL076,DRV082,2024-02-06,2024-02-06 11:42:36,2158,5.71,377.93,198.0,179.93,15,ahead,377.9334500875657,1593.0,9.8,162.55102040816325,4.090000000000001,1545.747810858144,3703.747810858144,ahead
VEL127,DRV082,2024-02-06,2024-02-06 12:02:24,159,6.04,26.32,201.0,-174.68,7,at_risk,26.32450331125828,1593.0,9.8,162.55102040816325,3.7600000000000007,98.98013245033115,257.98013245033115,at_risk
VEL107,DRV084,2024-02-06,2024-02-06 07:52:12,2025,1.87,1082.89,187.0,895.89,13,ahead,1082.8877005347592,1693.0,7.2,235.13888888888889,5.33,5771.791443850267,7796.791443850267,ahead
VEL161,DRV085,2024-02-06,2024-02-06 12:58:48,522,6.98,74.79,189.0,-114.21,7,at_risk,74.78510028653295,1580.0,8.3,190.36144578313252,1.3200000000000003,98.71633237822351,620.7163323782236,at_risk
VEL065,DRV086,2024-02-06,2024-02-06 10:23:24,411,4.39,93.62,202.0,-108.38,9,at_risk,93.62186788154898,1411.0,8.9,158.53932584269663,4.510000000000001,422.234624145786,833.234624145786,at_risk
VEL074,DRV088,2024-02-06,2024-02-06 06:51:00,1381,0.85,1624.71,198.0,1426.71,15,ahead,1624.7058823529412,1229.0,8.0,153.625,7.15,11616.64705882353,12997.64705882353,ahead
VEL030,DRV089,2024-02-06,2024-02-06 10:15:00,1046,4.25,246.12,194.0,52.12,3,ahead,246.11764705882354,1114.0,9.0,123.77777777777777,4.75,1169.0588235294117,2215.0588235294117,ahead
VEL045,DRV090,2024-02-06,2024-02-06 08:40:48,2126,2.68,793.28,174.0,619.28,4,ahead,793.2835820895522,1478.0,9.2,160.6521739130435,6.52,5172.2089552238795,7298.2089552238795,ahead
VEL120,DRV091,2024-02-06,2024-02-06 11:03:36,323,5.06,63.83,175.0,-111.17,11,at_risk,63.833992094861664,1133.0,7.4,153.1081081081081,2.3400000000000007,149.37154150197634,472.37154150197637,at_risk
VEL087,DRV092,2024-02-06,2024-02-06 11:51:36,939,5.86,160.24,201.0,-40.76,11,at_risk,160.23890784982933,1492.0,7.0,213.14285714285714,1.1399999999999997,182.67235494880538,1121.6723549488054,at_risk
VEL015,DRV095,2024-02-06,07:38:00,403,2.13,189.2,157.14,32.06,2,ahead,189.20187793427232,1248.0,8.1,154.07407407407408,5.97,1129.5352112676057,1532.5352112676057,ahead
VEL218,DRV095,2024-02-06,2024-02-06 07:31:48,2307,1.53,1507.84,165.0,1342.84,10,ahead,1507.8431372549019,1248.0,8.1,154.07407407407408,6.569999999999999,9906.529411764704,12213.529411764704,ahead
VEL201,DRV095,2024-02-06,2024-02-06 08:55:48,1661,2.93,566.89,200.0,366.89,5,ahead,566.8941979522184,1248.0,8.1,154.07407407407408,5.17,2930.843003412969,4591.843003412969,ahead
VEL054,DRV095,2024-02-06,2024-02-06 11:39:36,1389,5.66,245.41,176.0,69.41,11,ahead,245.40636042402826,1248.0,8.1,154.07407407407408,2.4399999999999995,598.7915194346289,1987.7915194346288,ahead
VEL007,DRV096,2024-02-06,11:15:00,1423,5.25,271.05,175.0,96.05,7,ahead,271.04761904761904,1199.0,9.7,123.60824742268042,4.449999999999999,1206.1619047619045,2629.161904761904,ahead
VEL116,DRV096,2024-02-06,2024-02-06 10:21:36,2189,4.36,502.06,199.0,303.06,12,ahead,502.0642201834862,1199.0,9.7,123.60824742268042,5.339999999999999,2681.0229357798157,4870.022935779816,ahead
VEL137,DRV098,2024-02-06,2024-02-06 09:28:12,2077,3.47,598.56,184.0,414.56,6,ahead,598.5590778097983,1299.0,8.1,160.37037037037038,4.629999999999999,2771.3285302593654,4848.328530259365,ahead
VEL165,DRV099,2024-02-06,2024-02-06 08:31:12,600,2.52,238.1,182.0,56.1,6,ahead,238.0952380952381,1112.0,7.6,146.31578947368422,5.08,1209.5238095238096,1809.5238095238096,ahead
VEL133,DRV100,2024-02-06,2024-02-06 06:34:12,1602,0.57,2810.53,192.0,2618.53,8,ahead,2810.5263157894738,1357.0,6.8,199.55882352941177,6.2299999999999995,17509.57894736842,19111.57894736842,ahead
VEL050,DRV100,2024-02-06,2024-02-06 07:51:00,2090,1.85,1129.73,168.0,961.73,2,ahead,1129.7297297297296,1357.0,6.8,199.55882352941177,4.949999999999999,5592.162162162161,7682.162162162161,ahead
VEL119,DRV100,2024-02-06,2024-02-06 08:19:48,1563,2.33,670.82,198.0,472.82,11,ahead,670.8154506437768,1357.0,6.8,199.55882352941177,4.47,2998.545064377682,4561.545064377682,ahead
VEL075,DRV101,2024-02-06,2024-02-06 11:26:24,1351,5.44,248.35,193.0,55.35,3,ahead,248.3455882352941,1222.0,6.3,193.96825396825398,0.8599999999999994,213.57720588235279,1564.5772058823527,ahead
VEL041,DRV102,2024-02-06,2024-02-06 08:37:12,1309,2.62,499.62,177.0,322.62,12,ahead,499.618320610687,1213.0,8.8,137.8409090909091,6.180000000000001,3087.641221374046,4396.641221374046,ahead
VEL016,DRV103,2024-02-06,07:28:00,245,1.47,166.67,171.43,-4.76,1,at_risk,166.66666666666666,1537.0,8.8,174.6590909090909,7.330000000000001,1221.6666666666667,1466.6666666666667,on_track
VEL220,DRV103,2024-02-06,2024-02-06 12:13:48,205,6.23,32.91,167.0,-134.09,3,at_risk,32.90529695024077,1537.0,8.8,174.6590909090909,2.5700000000000003,84.56661316211878,289.56661316211876,at_risk
VEL206,DRV104,2024-02-06,2024-02-06 11:55:12,585,5.92,98.82,189.0,-90.18,11,at_risk,98.81756756756756,1440.0,10.0,144.0,4.08,403.1756756756757,988.1756756756756,at_risk
VEL099,DRV105,2024-02-06,2024-02-06 12:59:24,2493,6.99,356.65,200.0,156.65,5,ahead,356.6523605150214,1305.0,8.4,155.35714285714286,1.4100000000000001,502.87982832618025,2995.8798283261804,ahead
VEL113,DRV107,2024-02-06,2024-02-06 07:07:48,385,1.13,340.71,183.0,157.71,9,ahead,340.70796460176996,1172.0,8.3,141.2048192771084,7.170000000000001,2442.8761061946907,2827.8761061946907,ahead
VEL057,DRV108,2024-02-06,2024-02-06 09:15:00,1973,3.25,607.08,172.0,435.08,2,ahead,607.0769230769231,1138.0,8.7,130.80459770114945,5.449999999999999,3308.56923076923,5281.56923076923,ahead
VEL158,DRV109,2024-02-06,2024-02-06 08:13:12,759,2.22,341.89,173.0,168.89,7,ahead,341.8918918918919,1602.0,7.9,202.78481012658227,5.68,1941.9459459459458,2700.945945945946,ahead
VEL066,DRV109,2024-02-06,2024-02-06 12:09:00,658,6.15,106.99,178.0,-71.01,11,at_risk,106.99186991869918,1602.0,7.9,202.78481012658227,1.75,187.23577235772356,845.2357723577236,at_risk
VEL114,DRV113,2024-02-06,2024-02-06 12:33:36,2168,6.56,330.49,165.0,165.49,7,ahead,330.4878048780488,1209.0,8.5,142.23529411764707,1.9400000000000004,641.1463414634147,2809.1463414634145,ahead
VEL129,DRV113,2024-02-06,2024-02-06 13:31:12,295,7.52,39.23,204.0,-164.77,14,at_risk,39.22872340425532,1209.0,8.5,142.23529411764707,0.9800000000000004,38.44414893617023,333.4441489361702,at_risk
VEL013,DRV114,2024-02-06,10:22:00,1148,3.37,340.65,175.0,165.65,3,ahead,340.6528189910979,1297.0,6.1,212.62295081967216,2.7299999999999995,929.9821958456971,2077.982195845697,ahead
VEL018,DRV115,2024-02-06,2024-02-06 11:19:48,414,5.33,77.67,189.0,-111.33,15,at_risk,77.67354596622889,1560.0,9.9,157.57575757575756,4.57,354.968105065666,768.968105065666,at_risk
